gene	unique	total
ENSG00000223972.5	97	1793
ENSG00000227232.5	60	1321
ENSG00000278267.1	0	38
ENSG00000243485.5	18	990
ENSG00000284332.1	0	108
ENSG00000237613.2	0	1187
ENSG00000268020.3	62	810
ENSG00000240361.2	219	1384
ENSG00000186092.5	297	2588
ENSG00000238009.6	509	3602
ENSG00000239945.1	6	1231
ENSG00000233750.3	1046	3782
ENSG00000268903.1	54	725
ENSG00000269981.1	31	254
ENSG00000239906.1	0	293
ENSG00000241860.6	4065	6188
ENSG00000222623.1	0	74
ENSG00000241599.1	171	427
ENSG00000279928.2	83	540
ENSG00000279457.4	60	1367
ENSG00000273874.1	0	38
ENSG00000228463.10	4018	7473
ENSG00000236679.2	0	355
ENSG00000236601.2	135	1093
ENSG00000237094.12	1123	6159
ENSG00000269732.1	0	333
ENSG00000284733.1	0	965
ENSG00000233653.3	58	2447
ENSG00000250575.1	89	1209
ENSG00000278757.1	0	74
ENSG00000230021.9	1244	4871
ENSG00000235146.2	37	634
ENSG00000225972.1	85	342
ENSG00000225630.1	438	1014
ENSG00000237973.1	520	1513
ENSG00000278791.1	59	59
ENSG00000229344.1	213	652
ENSG00000240409.1	103	177
ENSG00000248527.1	235	651
ENSG00000198744.5	180	517
ENSG00000268663.1	17	394
ENSG00000284662.1	0	965
ENSG00000229376.3	190	2425
ENSG00000228327.3	460	6405
ENSG00000223181.1	28	74
ENSG00000229905.1	170	426
ENSG00000237491.8	3947	5790
ENSG00000230092.7	676	842
ENSG00000177757.2	868	1917
ENSG00000228794.8	8955	9358
ENSG00000225880.5	557	1287
ENSG00000230368.2	1392	1997
ENSG00000234711.1	417	1028
ENSG00000283040.1	452	807
ENSG00000272438.1	321	321
ENSG00000230699.2	2592	3013
ENSG00000241180.1	48	413
ENSG00000223764.2	4232	4232
ENSG00000187634.11	4439	4439
ENSG00000188976.10	4495	5571
ENSG00000187961.13	3499	3499
ENSG00000187583.10	2884	2884
ENSG00000187642.9	3360	3360
ENSG00000272512.1	1762	1762
ENSG00000188290.10	1172	1172
ENSG00000187608.8	940	940
ENSG00000231702.2	61	124
ENSG00000224969.1	434	441
ENSG00000188157.14	10330	10769
ENSG00000242590.1	24	372
ENSG00000217801.9	2025	2193
ENSG00000273443.1	799	799
ENSG00000237330.2	1831	1872
ENSG00000131591.17	6788	6791
ENSG00000223823.1	1575	1575
ENSG00000207730.3	65	65
ENSG00000207607.3	60	60
ENSG00000198976.1	53	53
ENSG00000272141.1	957	957
ENSG00000205231.1	3129	3258
ENSG00000162571.13	3900	4007
ENSG00000186891.13	1395	1395
ENSG00000186827.10	1775	1775
ENSG00000078808.16	4789	4791
ENSG00000176022.4	2747	2747
ENSG00000184163.3	1846	1846
ENSG00000260179.1	1478	1528
ENSG00000160087.20	5016	5036
ENSG00000230415.1	445	483
ENSG00000162572.20	4142	4142
ENSG00000131584.18	8934	8945
ENSG00000278073.1	31	31
ENSG00000169972.11	2567	2567
ENSG00000127054.20	8793	9226
ENSG00000283712.1	0	35
ENSG00000240731.1	356	356
ENSG00000224051.6	2552	2552
ENSG00000169962.4	3403	3403
ENSG00000107404.19	3915	3950
ENSG00000284372.1	0	29
ENSG00000162576.16	3788	3788
ENSG00000175756.13	1768	1768
ENSG00000223663.2	334	337
ENSG00000221978.11	7165	7279
ENSG00000224870.6	2634	2634
ENSG00000242485.5	2512	2872
ENSG00000264293.2	0	263
ENSG00000272455.1	964	1493
ENSG00000235098.8	2599	2697
ENSG00000225905.1	513	513
ENSG00000205116.3	462	462
ENSG00000225285.1	868	868
ENSG00000179403.11	5090	5090
ENSG00000215915.9	2870	3996
ENSG00000160072.19	6180	7822
ENSG00000284740.1	263	630
ENSG00000197785.13	1664	3099
ENSG00000205090.8	1347	1347
ENSG00000160075.11	6522	6874
ENSG00000215014.4	1846	2069
ENSG00000274481.1	370	370
ENSG00000228594.3	2055	2055
ENSG00000272106.1	1949	2008
ENSG00000197530.12	9196	9274
ENSG00000189409.13	1445	2432
ENSG00000248333.8	1623	3724
ENSG00000272004.1	272	370
ENSG00000189339.11	6258	8451
ENSG00000269737.2	1450	1789
ENSG00000215914.4	0	987
ENSG00000008128.22	2291	5077
ENSG00000268575.1	1750	5049
ENSG00000227775.3	2171	2728
ENSG00000215790.6	844	3261
ENSG00000008130.15	5750	5781
ENSG00000078369.17	6450	6492
ENSG00000231050.1	876	876
ENSG00000169885.9	2433	2433
ENSG00000178821.12	1672	1672
ENSG00000142609.17	10044	10540
ENSG00000233542.1	1831	1924
ENSG00000187730.8	5606	5800
ENSG00000226969.1	508	508
ENSG00000067606.16	7803	7833
ENSG00000271806.1	3527	3844
ENSG00000182873.5	1710	1710
ENSG00000162585.16	10600	11124
ENSG00000234396.3	296	296
ENSG00000157933.9	6009	6009
ENSG00000116151.13	11276	11497
ENSG00000272161.1	463	463
ENSG00000269896.2	2373	2377
ENSG00000272420.1	505	538
ENSG00000157916.19	5767	5767
ENSG00000157911.9	3898	3898
ENSG00000149527.17	10893	10893
ENSG00000224387.1	425	425
ENSG00000229393.1	484	484
ENSG00000157881.13	5235	5235
ENSG00000197921.5	1276	1276
ENSG00000272449.1	966	966
ENSG00000238164.6	5677	6289
